Date,Time,Temp,Humi,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:24:23,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:24:33,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:24:43,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:24:53,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:25:03,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:25:13,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:25:23,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:25:33,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:25:43,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:25:53,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:26:03,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:26:13,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:26:23,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:26:33,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:26:43,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:26:53,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:27:03,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:27:13,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:27:23,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:27:33,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:27:43,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:27:53,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:28:03,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:28:13,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:28:23,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:28:33,30.3,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:28:43,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:28:53,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:29:03,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:29:13,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:29:23,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:29:33,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:29:43,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:29:53,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:30:03,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:30:13,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:30:24,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:30:34,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:30:44,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:30:54,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:31:04,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:31:14,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:31:24,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:31:34,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:31:44,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:31:54,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:32:04,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:32:14,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:32:24,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:32:34,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:32:44,30.5,78,,,,,,,,,,,,,,,,,,,,,,
